harvest,year,season,date,numb_yrs_grow,location,wall,point,spp,origin,basal,height
sta_rd,2020,2020,2021.06.16,3,i,protected,349,rm,s,0.12,16.5
sta_rd,2020,2020,2021.06.16,3,i,protected,350,rm,s,0.2,19
sta_rd,2020,2020,2021.06.14,3,i,protected,351,rm,s,0.11,10
sta_rd,2020,2020,2021.06.14,3,i,protected,352,rm,s,0.12,14
sta_rd,2020,2020,2021.06.14,3,i,protected,352,rm,s,0.12,12.5
sta_rd,2020,2020,2021.06.14,3,i,protected,352,rm,s,0.12,14.5
sta_rd,2020,2020,2021.06.14,3,i,protected,352,rm,s,0.12,16
sta_rd,2020,2020,2021.06.11,3,i,protected,353,rm,s,0.11,11
sta_rd,2020,2020,2021.06.16,3,i,protected,355,rm,s,0.11,18
sta_rd,2020,2020,2021.06.11,3,i,protected,358,rm,s,0.15,24
sta_rd,2020,2020,2021.06.11,3,i,protected,358,rm,s,0.2,25
sta_rd,2020,2020,2021.06.11,3,i,protected,358,rm,s,0.2,21
sta_rd,2020,2020,2021.06.11,3,i,protected,359,rm,s,0.1,10
sta_rd,2020,2020,2021.06.11,3,i,protected,360,rm,s,0.15,14
sta_rd,2020,2020,2021.06.10,3,i,protected,361,rm,s,0.4,39.5
sta_rd,2020,2020,2021.06.11,3,i,protected,364,rm,s,0.11,14
sta_rd,2020,2020,2021.06.10,3,i,protected,366,rm,s,0.11,17.5
sta_rd,2020,2020,2021.06.10,3,i,protected,369,rm,s,0.11,21
sta_rd,2020,2020,2021.06.10,3,i,protected,369,rm,s,0.18,17.5
sta_rd,2020,2020,2021.06.17,3,i,protected,371,rm,s,0.12,8
sta_rd,2020,2020,2021.06.17,3,i,protected,371,rm,s,0.12,8.5
sta_rd,2020,2020,2021.06.20,3,i,protected,372,rm,s,0.11,11
sta_rd,2020,2020,2021.06.20,3,i,protected,372,rm,s,0.11,10
sta_rd,2020,2020,2021.06.17,3,i,protected,375,rm,s,0.18,15
sta_rd,2020,2020,2021.06.16,3,i,protected,377,rm,s,0.1,8.5
sta_rd,2020,2020,2021.06.17,3,i,protected,381,rm,s,0.12,10
sta_rd,2020,2020,2021.06.17,3,i,protected,382,rm,s,0.12,14
sta_rd,2020,2020,2021.06.17,3,i,protected,382,rm,s,0.15,16
sta_rd,2020,2020,2021.06.17,3,i,protected,382,rm,s,0.12,21
sta_rd,2020,2020,2021.06.17,3,i,protected,383,rm,s,0.12,10
sta_rd,2020,2020,2021.06.17,3,i,protected,383,rm,s,0.12,13
sta_rd,2020,2020,2021.06.14,3,p,protected,951,rm,s,0.12,13
sta_rd,2020,2020,2021.06.14,3,p,protected,951,rm,s,0.15,29.5
sta_rd,2020,2020,2021.06.11,3,p,protected,952,rm,s,0.15,29.5
sta_rd,2020,2020,2021.06.11,3,p,protected,952,rm,s,0.18,27
sta_rd,2020,2020,2021.06.10,3,p,protected,957,rm,s,0.12,17
sta_rd,2020,2020,2021.06.10,3,p,protected,957,rm,s,0.12,18.5
sta_rd,2020,2020,2021.06.16,3,p,protected,963,rm,s,0.12,15
sta_rd,2020,2020,2021.06.16,3,p,protected,963,rm,s,0.11,13
sta_rd,2020,2020,2021.06.16,3,p,protected,963,rm,s,0.12,19
sta_rd,2020,2020,2021.06.16,3,p,protected,967,rm,s,0.12,15
sta_rd,2020,2020,2021.06.16,3,p,protected,967,rm,s,0.15,24.5
sta_rd,2020,2020,2021.06.16,3,p,protected,967,rm,s,0.11,15
sta_rd,2020,2020,2021.06.17,3,p,protected,969,rm,s,0.12,12
sta_rd,2020,2020,2021.06.17,3,p,protected,969,rm,s,0.15,14
sta_rd,2020,2020,2021.06.17,3,p,protected,970,rm,s,0.18,22
sta_rd,2020,2020,2021.06.17,3,p,protected,972,rm,s,0.11,12.5
sta_rd,2020,2020,2021.06.24,3,c,control,398,rm,s,0.1,8
sta_rd,2020,2020,2021.06.24,3,c,control,399,rm,s,0.12,20.5
sta_rd,2020,2020,2021.06.25,3,c,control,713,rm,s,0.15,12
sta_rd,2020,2020,2021.06.25,3,c,control,713,rm,s,0.11,7
sta_rd,2020,2020,2021.06.23,3,c,control,948,rm,s,0.11,16
sta_rd,2020,2020,2021.06.23,3,c,control,948,rm,s,0.15,17
sta_rd,2020,2020,2021.06.23,3,c,control,948,rm,s,0.15,15
sta_rd,2020,2020,2021.06.23,3,c,control,949,rm,s,0.18,27
sta_rd,2020,2020,2021.06.23,3,c,control,949,rm,s,0.12,13.5
sta_rd,2020,2020,2021.06.23,3,c,control,949,rm,s,0.11,9
sta_rd,2020,2020,2021.06.16,3,i,protected,349,sm,s,0.11,11
sta_rd,2020,2020,2021.06.16,3,i,protected,349,sm,s,0.12,11.5
sta_rd,2020,2020,2021.06.16,3,i,protected,349,sm,s,0.15,12
sta_rd,2020,2020,2021.06.16,3,i,protected,350,sm,s,0.2,9.5
sta_rd,2020,2020,2021.06.11,3,i,protected,353,sm,s,0.11,14
sta_rd,2020,2020,2021.06.16,3,i,protected,355,sm,s,0.12,11.5
sta_rd,2020,2020,2021.06.11,3,i,protected,359,sm,s,0.11,10
sta_rd,2020,2020,2021.06.11,3,i,protected,362,sm,s,0.11,14.5
sta_rd,2020,2020,2021.06.11,3,i,protected,362,sm,s,0.11,9.5
sta_rd,2020,2020,2021.06.11,3,i,protected,363,sm,s,0.11,10.5
sta_rd,2020,2020,2021.06.11,3,i,protected,363,sm,s,0.11,11.5
sta_rd,2020,2020,2021.06.10,3,i,protected,368,sm,s,0.11,13
sta_rd,2020,2020,2021.06.16,3,i,protected,376,sm,s,0.1,11.5
sta_rd,2020,2020,2021.06.17,3,i,protected,383,sm,s,0.12,14
sta_rd,2020,2020,2021.06.10,3,p,protected,954,sm,s,0.11,6
sta_rd,2020,2020,2021.06.10,3,p,protected,956,sm,s,0.11,8
sta_rd,2020,2020,2021.06.10,3,p,protected,956,sm,s,0.11,10
sta_rd,2020,2020,2021.06.10,3,p,protected,958,sm,s,0.11,12
sta_rd,2020,2020,2021.06.14,3,p,protected,962,sm,s,0.12,12
sta_rd,2020,2020,2021.06.16,3,p,protected,964,sm,s,0.12,17
sta_rd,2020,2020,2021.06.16,3,p,protected,964,sm,s,0.12,16.5
sta_rd,2020,2020,2021.06.16,3,p,protected,965,sm,s,0.18,12
sta_rd,2020,2020,2021.06.16,3,p,protected,965,sm,s,0.2,13
sta_rd,2020,2020,2021.06.16,3,p,protected,965,sm,s,0.2,15
sta_rd,2020,2020,2021.06.16,3,p,protected,965,sm,s,0.12,11
sta_rd,2020,2020,2021.06.16,3,p,protected,966,sm,s,0.11,14
sta_rd,2020,2020,2021.06.16,3,p,protected,966,sm,s,0.11,12
sta_rd,2020,2020,2021.06.16,3,p,protected,966,sm,s,0.1,9.5
sta_rd,2020,2020,2021.06.24,3,c,control,708,sm,s,0.1,7
sta_rd,2020,2020,2021.06.24,3,c,control,708,sm,s,0.1,5.5
sta_rd,2020,2020,2021.06.24,3,c,control,708,sm,s,0.1,5
sta_rd,2020,2020,2021.06.23,3,c,control,947,sm,s,0.2,12
sta_rd,2020,2020,2021.06.23,3,c,control,948,sm,s,0.12,7.5
sta_rd,2020,2020,2021.06.23,3,c,control,948,sm,s,0.11,9
sta_rd,2020,2020,2021.06.23,3,c,control,948,sm,s,0.18,21
sta_rd,2020,2020,2021.06.14,3,i,protected,354,sb,s,0.6,70
sta_rd,2020,2020,2021.06.14,3,i,protected,354,sb,s,0.35,55
sta_rd,2020,2020,2021.06.14,3,i,protected,356,sb,s,0.25,44.5
sta_rd,2020,2020,2021.06.14,3,i,protected,356,sb,s,0.2,36
