harvest,season,date,point,spp,origin,basal,height,location,wall,year,cut,number_yrs_grow
sta_rd,2022,2022.08.15,364,rm,s,0.2,45.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,364,sm,s,0.15,29,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,364,wa,s,0.3,58,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,364,eh,s,1,127,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,364,ro,s,0.25,22,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,364,ba,s,0.25,16,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,365,ab,v,1,106,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,365,ab,v,1,93,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,365,wa,s,0.4,47,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,365,wa,s,0.3,44,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,365,wa,s,0.35,53.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,366,ab,v,1,72,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,366,ab,v,1.15,65,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,366,ab,v,0.75,70,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,366,wa,s,0.6,53,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,366,cu,s,0.65,46.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,366,ro,s,0.35,57,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,367,ab,v,1,79.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,367,ab,v,1.25,94,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,367,wa,s,0.35,54,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,367,wa,s,0.4,57,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,367,eh,s,0.65,88.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,368,sm,s,0.25,40,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,368,sm,s,0.25,56,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,368,ab,v,1,75,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,368,wa,s,1,91,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,368,wa,s,0.65,63,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,368,wa,s,1,85.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,369,rm,s,0.2,34,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,369,rm,s,0.2,36,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,369,rm,s,0.25,46.5,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,369,rm,s,0.2,45,i,protected,2022,2018,5
sta_rd,2022,2022.08.12,369,rm,s,0.25,55,i,protected,2022,2018,5
sta_rd,2022,2022.08.15,950,ab,v,1,83,p,protected,2022,2018,5
