location,originx2,spp,ht_avg,ht_cm_avg,n
control,sprout,ab,16.629319094479502,42.238470499977936,125
control,sprout,rm,30.86038961038961,78.38538961038961,25
control,sprout,ro,27.6875,70.32625,6
control,sprout,sb,24.733333333333334,62.82266666666667,7
control,sprout,sm,14,35.56,1
control,sprout,wa,41.166666666666664,104.56333333333333,4
control,singl/unk,ab,28.821428571428573,73.20642857142857,11
control,singl/unk,rm,14.982142857142858,38.05464285714286,14
control,singl/unk,ro,18.09375,45.958125,28
control,singl/unk,sb,15.409967571257894,39.14131763099505,70
control,singl/unk,sm,16.5,41.91,3
control,singl/unk,wa,14.332671957671957,36.40498677248677,51
interior,sprout,ab,14.856513409961686,37.73554406130268,69
interior,sprout,rm,51.77777777777778,131.51555555555555,18
interior,sprout,ro,19.75,50.165,2
interior,sprout,sb,37.5,95.25,1
interior,sprout,sm,30.414529914529915,77.25290598290599,45
interior,sprout,wa,34.166666666666664,86.78333333333333,6
interior,singl/unk,ab,33.23504273504273,84.41700854700855,28
interior,singl/unk,rm,20.33470695970696,51.650155677655675,32
interior,singl/unk,ro,26.66785714285714,67.73635714285714,39
interior,singl/unk,sb,14.897058823529411,37.8385294117647,34
interior,singl/unk,sm,12.43939393939394,31.596060606060604,16
interior,singl/unk,wa,20.41243961352657,51.847596618357485,81
perimeter,sprout,ab,15.383358471593766,39.07373051784816,65
perimeter,sprout,rm,56.32744107744108,143.07170033670033,38
perimeter,sprout,ro,41.225,104.7115,7
perimeter,sprout,sb,40.8125,103.66375000000001,6
perimeter,sprout,sm,36.00952380952381,91.46419047619048,18
perimeter,sprout,wa,41.729166666666664,105.99208333333334,10
perimeter,singl/unk,ab,40.879629629629626,103.83425925925927,16
perimeter,singl/unk,rm,22.414772727272727,56.93352272727273,23
perimeter,singl/unk,ro,18.95,48.133,28
perimeter,singl/unk,sb,20.423076923076923,51.87461538461538,28
perimeter,singl/unk,sm,22,55.88,6
perimeter,singl/unk,wa,21.89987012987013,55.62567012987013,43
