harvest,location,originx2,spp,year,ht_avg,ht_cm_avg,n,,harvest,location,originx2,spp,year,ht_avg,ht_cm_avg,n
red_pine,perimeter,singl/unk,ab,2018,7,17.78,1,,red_pine,perimeter,singl/unk,ab,2019,17,43.18,1
red_pine,perimeter,singl/unk,rm,2018,17.875,45.4025,12,,red_pine,perimeter,singl/unk,rm,2019,30.08333333,76.41166667,12
red_pine,perimeter,singl/unk,ro,2018,18.75,47.625,12,,red_pine,perimeter,singl/unk,ro,2019,28.45833333,72.28416667,12
red_pine,perimeter,singl/unk,sm,2018,5,12.7,3,,red_pine,perimeter,singl/unk,sm,2019,10.66666667,27.09333333,3
red_pine,perimeter,singl/unk,wa,2018,21.07142857,53.52142857,7,,red_pine,perimeter,singl/unk,wa,2019,41.21428571,104.6842857,7
red_pine,perimeter,sprout,ab,2018,12.5,31.75,9,,red_pine,perimeter,sprout,ab,2019,23.5,59.69,9
red_pine,perimeter,sprout,rm,2018,50.55555556,128.4111111,9,,red_pine,perimeter,sprout,rm,2019,64.72222222,164.3944444,9
red_pine,perimeter,sprout,ro,2018,31.75,80.645,2,,red_pine,perimeter,sprout,ro,2019,55.25,140.335,2
red_pine,perimeter,sprout,sm,2018,26,66.04,1,,red_pine,perimeter,sprout,sm,2019,54,137.16,1
red_pine,perimeter,sprout,wa,2018,18,45.72,1,,red_pine,perimeter,sprout,wa,2019,41,104.14,1
sta_rd,control,singl/unk,ab,2018,39.21428571,99.60428571,7,,sta_rd,control,singl/unk,ab,2019,49.07142857,124.6414286,7
sta_rd,control,singl/unk,rm,2018,12.5,31.75,3,,sta_rd,control,singl/unk,rm,2019,26,66.04,3
sta_rd,control,singl/unk,ro,2018,28.5,72.39,3,,sta_rd,control,singl/unk,ro,2019,31.66666667,80.43333333,3
sta_rd,control,singl/unk,sb,2018,17.98387097,45.67903226,31,,sta_rd,control,singl/unk,sb,2019,38.80645161,98.5683871,31
sta_rd,control,singl/unk,sm,2018,16.5,41.91,3,,sta_rd,control,singl/unk,sm,2019,20,50.8,3
sta_rd,control,singl/unk,wa,2018,19.19444444,48.75388889,36,,sta_rd,control,singl/unk,wa,2019,31.06944444,78.91638889,36
sta_rd,control,sprout,ab,2018,22.81395349,57.94744186,43,,sta_rd,control,sprout,ab,2019,34.8255814,88.45697674,43
sta_rd,control,sprout,sb,2018,43,109.22,1,,sta_rd,control,sprout,sb,2019,66,167.64,1
sta_rd,control,sprout,sm,2018,14,35.56,1,,sta_rd,control,sprout,sm,2019,30,76.2,1
sta_rd,interior,singl/unk,ab,2018,32.03846154,81.37769231,13,,sta_rd,interior,singl/unk,ab,2019,41.96153846,106.5823077,13
sta_rd,interior,singl/unk,rm,2018,13.57142857,34.47142857,7,,sta_rd,interior,singl/unk,rm,2019,25.5,64.77,7
sta_rd,interior,singl/unk,ro,2018,20,50.8,1,,sta_rd,interior,singl/unk,ro,2019,28,71.12,1
sta_rd,interior,singl/unk,sb,2018,14.89705882,37.83852941,34,,sta_rd,interior,singl/unk,sb,2019,44.32352941,112.5817647,34
sta_rd,interior,singl/unk,sm,2018,5.5,13.97,1,,sta_rd,interior,singl/unk,sm,2019,13,33.02,1
sta_rd,interior,singl/unk,wa,2018,8.195652174,20.81695652,23,,sta_rd,interior,singl/unk,wa,2019,27.17391304,69.02173913,23
sta_rd,interior,sprout,ab,2018,15.43333333,39.20066667,30,,sta_rd,interior,sprout,ab,2019,26.58333333,67.52166667,30
sta_rd,interior,sprout,rm,2018,54.75,139.065,8,,sta_rd,interior,sprout,rm,2019,76.8125,195.10375,8
sta_rd,interior,sprout,sb,2018,37.5,95.25,1,,sta_rd,interior,sprout,sb,2019,77,195.58,1
sta_rd,interior,sprout,sm,2018,27,68.58,5,,sta_rd,interior,sprout,sm,2019,51.8,131.572,5
