"harvest"	"location"	"spp"	"origin"	"point"	"sup.seed01A"	"sup.seed02A"	"sup.seed03A"	"sup.saplA"	"exp.seed01A"	"exp.seed02A"	"exp.seed03A"	"exp.saplA"	"suppressed"	"exposed"	"top4A"
"46"	"boot"	"interior"	"316"	"s"	355	14179.7018748838	5392.22551853219	5392.22551853219	5392.22551853219	14179.7018748838	5392.22551853219	5392.22551853219	5392.22551853219	30356.3784304804	30356.3784304804	0
"47"	"boot"	"interior"	"316"	"s"	358	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"48"	"boot"	"interior"	"316"	"s"	364	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"49"	"boot"	"interior"	"316"	"s"	369	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	8673.25098013725	8673.25098013725	0
"50"	"cgl"	"control"	"316"	"s"	730	0	0	0	0	0	0	0	0	0	0	0
"51"	"cgl"	"control"	"316"	"s"	737	0	0	0	0	0	0	0	0	0	0	0
"52"	"cgl"	"control"	"316"	"s"	738	0	0	0	0	0	0	0	0	0	0	0
"53"	"cgl"	"control"	"316"	"s"	744	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"54"	"crp"	"control"	"316"	"s"	761	0	0	0	0	0	0	0	0	0	0	0
"55"	"crp"	"control"	"316"	"s"	762	0	0	0	0	0	0	0	0	0	0	0
"56"	"crp"	"control"	"316"	"s"	768	0	0	0	0	0	0	0	0	0	0	0
"57"	"crp"	"control"	"316"	"s"	769	0	0	0	0	0	0	0	0	0	0	0
"58"	"crp"	"control"	"316"	"s"	770	0	0	0	0	0	0	0	0	0	0	0
"59"	"crp"	"control"	"316"	"s"	771	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	4336.62549006862	4336.62549006862	0
"60"	"crp"	"control"	"316"	"s"	775	0	0	0	0	0	0	0	0	0	0	0
"61"	"cwb"	"control"	"316"	"s"	396	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	2168.31274503431
"62"	"cwb"	"control"	"316"	"s"	399	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"63"	"cwb"	"control"	"316"	"s"	948	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	4336.62549006862	4336.62549006862	0
"64"	"gl"	"perimeter"	"316"	"s"	807	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"65"	"gl"	"perimeter"	"316"	"s"	808	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"66"	"gl"	"perimeter"	"316"	"s"	810	5064.17924102992	1925.79482804721	1925.79482804721	1925.79482804721	5064.17924102992	1925.79482804721	1925.79482804721	1925.79482804721	10841.5637251716	10841.5637251716	0
"67"	"gl"	"perimeter"	"316"	"s"	817	0	0	0	0	0	0	0	0	0	0	0
"68"	"gl"	"perimeter"	"316"	"s"	826	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"69"	"gl"	"perimeter"	"316"	"s"	827	0	0	0	0	0	0	0	0	0	0	0
"70"	"gl"	"perimeter"	"316"	"s"	830	0	0	0	0	0	0	0	0	0	0	0
"71"	"gl"	"perimeter"	"316"	"s"	830	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	4051.34339282394	1540.63586243777	1540.63586243777	1540.63586243777	8673.25098013725	8673.25098013725	8673.25098013725
"72"	"gl"	"perimeter"	"316"	"s"	831	3038.50754461795	1155.47689682833	1155.47689682833	1155.47689682833	3038.50754461795	1155.47689682833	1155.47689682833	1155.47689682833	6504.93823510294	6504.93823510294	6504.93823510294
"73"	"gl"	"perimeter"	"316"	"s"	832	0	0	0	0	0	0	0	0	0	0	0
"74"	"gl"	"perimeter"	"316"	"s"	834	0	0	0	0	0	0	0	0	0	0	0
"75"	"gl"	"perimeter"	"316"	"s"	835	0	0	0	0	0	0	0	0	0	0	0
"76"	"gl"	"interior"	"316"	"s"	847	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"77"	"gl"	"interior"	"316"	"s"	850	0	0	0	0	0	0	0	0	0	0	0
"78"	"gl"	"interior"	"316"	"s"	864	5064.17924102992	1925.79482804721	1925.79482804721	1925.79482804721	5064.17924102992	1925.79482804721	1925.79482804721	1925.79482804721	10841.5637251716	10841.5637251716	0
"79"	"gl"	"interior"	"316"	"s"	866	0	0	0	0	0	0	0	0	0	0	0
"80"	"gl"	"interior"	"316"	"s"	878	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"81"	"rp"	"interior"	"316"	"s"	336	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	2025.67169641197	770.317931218885	770.317931218885	770.317931218885	4336.62549006862	4336.62549006862	0
"82"	"rp"	"interior"	"316"	"s"	337	0	0	0	0	0	0	0	0	0	0	0
"83"	"rp"	"interior"	"316"	"s"	338	0	0	0	0	0	0	0	0	0	0	0
"84"	"rp"	"interior"	"316"	"s"	339	0	0	0	0	0	0	0	0	0	0	0
"85"	"rp"	"interior"	"316"	"s"	340	12154.0301784718	4621.90758731331	4621.90758731331	4621.90758731331	12154.0301784718	4621.90758731331	4621.90758731331	4621.90758731331	26019.7529404117	26019.7529404117	0
"86"	"rp"	"interior"	"316"	"s"	341	0	0	0	0	0	0	0	0	0	0	0
"87"	"rp"	"interior"	"316"	"s"	344	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"88"	"rp"	"interior"	"316"	"s"	345	0	0	0	0	0	0	0	0	0	0	0
"89"	"rp"	"interior"	"316"	"s"	346	0	0	0	0	0	0	0	0	0	0	0
"90"	"rp"	"interior"	"316"	"s"	347	0	0	0	0	0	0	0	0	0	0	0
"91"	"rp"	"interior"	"316"	"s"	348	0	0	0	0	0	0	0	0	0	0	0
"92"	"rp"	"perimeter"	"316"	"s"	880	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	1012.83584820598	385.158965609442	385.158965609442	385.158965609442	2168.31274503431	2168.31274503431	0
"93"	"rp"	"perimeter"	"316"	"s"	883	0	0	0	0	0	0	0	0	0	0	0
