harvest,location,ba_sqft,ba_sqha
gas_line,control,30.58823529411765,7.021835294117647
gas_line,interior,7.5,1.7216999999999998
gas_line,perimeter,8,1.83648
red-pine,control,18.275862068965516,4.195406896551724
red-pine,interior,8,1.83648
red-pine,perimeter,1.5384615384615385,0.3531692307692308
sta_rd,control,38.529411764705884,8.844811764705883
sta_rd,interior,36.57142857142857,8.395337142857143
sta_rd,perimeter,23.076923076923077,5.297538461538461
