harvest,year,date,location,point,spp,origin,basal2019,height
gas_line,2019,2020.04.15,perimeter,812,ab,root,0.3,45
gas_line,2019,2020.04.15,perimeter,811,ab,root,1,38
gas_line,2019,2020.04.15,perimeter,811,ab,root,0.75,52
gas_line,2019,2020.04.20,interior,873,wa,root,0.2,17
gas_line,2019,2020.04.16,perimeter,835,wa,root,0.75,64
gas_line,2019,2020.04.16,perimeter,835,bl,root,1,80
gas_line,2019,2020.05.04,interior,844,ba,root,1,64
red_pine,2019,2020.05.26,perimeter,880,ab,root,0.4,18.5
red_pine,2019,2020.06.09,interior,343,ab,root,0.2,17
red_pine,2019,2020.06.01,perimeter,883,ab,root,0.25,24
red_pine,2019,2020.05.26,interior,341,ab,root,0.25,15
red_pine,2019,2020.06.08,perimeter,889,ab,root,0.15,15
red_pine,2019,2020.05.26,perimeter,881,ab,root,0.25,28
red_pine,2019,2020.05.28,interior,347,ab,root,0.15,19.5
red_pine,2019,2020.06.09,interior,343,ab,root,0.25,22
red_pine,2019,2020.05.28,interior,347,ab,root,0.15,24.5
red_pine,2019,2020.06.09,interior,342,ab,root,0.4,32
sta_rd,2019,2020.06.23,perimeter,967,sb,root,0.2,37.5
sta_rd,2019,2020.06.29,interior,371,ab,root,0.5,21
sta_rd,2019,2020.06.23,perimeter,967,ab,root,0.25,23
sta_rd,2019,2020.06.23,perimeter,975,ab,root,0.5,33
sta_rd,2019,2020.06.23,perimeter,975,ab,root,0.25,27
sta_rd,2019,2020.06.23,perimeter,968,ab,root,0.9,56.5
sta_rd,2019,2020.06.25,perimeter,969,ab,root,0.1,12.5
sta_rd,2019,2020.06.25,interior,382,ab,root,0.25,24
sta_rd,2019,2020.06.25,perimeter,969,ab,root,0.1,10.5
sta_rd,2019,2020.06.26,interior,375,ab,root,0.2,15
sta_rd,2019,2020.06.23,perimeter,975,ab,root,0.3,22
sta_rd,2019,2020.06.23,interior,377,ab,root,0.7,35
sta_rd,2019,2020.06.23,interior,373,ab,root,0.7,22.5
sta_rd,2019,2020.06.23,interior,373,ab,root,0.5,25
sta_rd,2019,2020.06.23,interior,377,ab,root,0.25,20
sta_rd,2019,2020.06.29,interior,374,ab,root,0.25,22.5
sta_rd,2019,2020.06.23,interior,373,ab,root,0.5,18.5
sta_rd,2019,2020.06.26,interior,375,ab,root,0.25,26.5
sta_rd,2019,2020.06.29,perimeter,973,ab,root,0.25,24.5
sta_rd,2019,2020.06.23,interior,373,ab,root,0.5,21
red_pine,2019,2020.07.15,control,774,wo,root,0.25,19
sta_rd,2019,2020.06.19,interior,358,rm,singl/unk,0.15,20.5
sta_rd,2019,2020.06.22,interior,364,rm,singl/unk,0.15,21
sta_rd,2019,2020.06.15,interior,363,rm,singl/unk,0.15,23.5
sta_rd,2019,2020.06.22,interior,364,rm,singl/unk,0.2,28
sta_rd,2019,2020.06.16,interior,350,rm,singl/unk,0.25,45.5
sta_rd,2019,2020.06.16,perimeter,965,sm,singl/unk,0.2,12.5
sta_rd,2019,2020.06.15,interior,362,sm,singl/unk,0.1,13
sta_rd,2019,2020.06.22,interior,354,sb,singl/unk,0.2,22.5
sta_rd,2019,2020.06.17,perimeter,950,sb,singl/unk,0.15,22
sta_rd,2019,2020.06.12,perimeter,956,sb,singl/unk,0.35,41.5
sta_rd,2019,2020.06.12,perimeter,955,sb,singl/unk,0.25,37
sta_rd,2019,2020.06.16,interior,355,sb,singl/unk,0.6,43.5
sta_rd,2019,2020.06.22,interior,364,sb,singl/unk,0.2,37
sta_rd,2019,2020.06.19,perimeter,952,sb,singl/unk,0.25,45.5
sta_rd,2019,2020.06.16,perimeter,963,sb,singl/unk,0.25,37
sta_rd,2019,2020.06.15,interior,369,sb,singl/unk,0.5,57
sta_rd,2019,2020.06.22,perimeter,960,sb,singl/unk,0.15,30
sta_rd,2019,2020.06.17,interior,353,sb,singl/unk,0.2,42.5
sta_rd,2019,2020.06.12,interior,366,sb,singl/unk,0.35,53.5
sta_rd,2019,2020.06.12,perimeter,956,sb,singl/unk,0.35,47
sta_rd,2019,2020.06.22,interior,360,sb,singl/unk,0.45,43.5
sta_rd,2019,2020.06.22,interior,357,sb,singl/unk,0.2,36
sta_rd,2019,2020.06.15,perimeter,958,sb,singl/unk,0.2,52
sta_rd,2019,2020.06.17,interior,353,sb,singl/unk,0.2,45.5
sta_rd,2019,2020.06.12,interior,366,sb,singl/unk,0.35,58
sta_rd,2019,2020.06.12,perimeter,957,sb,singl/unk,0.2,35
sta_rd,2019,2020.06.15,perimeter,958,sb,singl/unk,0.2,49.5
sta_rd,2019,2020.06.17,perimeter,951,sb,singl/unk,0.6,58.5
sta_rd,2019,2020.06.22,perimeter,961,sb,singl/unk,0.3,52
sta_rd,2019,2020.06.16,perimeter,964,sb,singl/unk,0.25,42
sta_rd,2019,2020.06.22,interior,352,sb,singl/unk,0.3,56
sta_rd,2019,2020.06.19,interior,358,sb,singl/unk,0.5,62
sta_rd,2019,2020.06.22,interior,360,sb,singl/unk,0.5,48
sta_rd,2019,2020.06.16,perimeter,964,sb,singl/unk,0.25,49
sta_rd,2019,2020.06.22,interior,357,sb,singl/unk,0.9,71
sta_rd,2019,2020.06.16,interior,349,sb,singl/unk,0.65,65
sta_rd,2019,2020.06.19,interior,358,sb,singl/unk,0.6,78.5
sta_rd,2019,2020.06.22,interior,352,sb,singl/unk,0.5,66
sta_rd,2019,2020.06.16,perimeter,965,sb,singl/unk,0.9,74
sta_rd,2019,2020.06.15,perimeter,958,pb,singl/unk,0.2,33.5
sta_rd,2019,2020.06.15,perimeter,959,pb,singl/unk,0.5,63
sta_rd,2019,2020.06.15,perimeter,959,pb,singl/unk,0.4,58.5
sta_rd,2019,2020.06.22,perimeter,960,ab,singl/unk,0.8,43.5
sta_rd,2019,2020.06.22,interior,354,ab,singl/unk,0.25,17.5
sta_rd,2019,2020.06.19,perimeter,952,ab,singl/unk,0.25,18
sta_rd,2019,2020.06.17,interior,353,ab,singl/unk,0.6,30
sta_rd,2019,2020.06.22,interior,365,ab,singl/unk,1.3,83
sta_rd,2019,2020.06.22,interior,357,ab,singl/unk,0.5,45
sta_rd,2019,2020.06.15,perimeter,958,ab,singl/unk,1,70
sta_rd,2019,2020.06.22,interior,357,ab,singl/unk,0.7,57.5
sta_rd,2019,2020.06.22,interior,364,ab,singl/unk,1,45.5
sta_rd,2019,2020.06.12,interior,367,ab,singl/unk,0.75,58
sta_rd,2019,2020.06.15,interior,369,ab,singl/unk,0.35,19
