harvest,year,date,location,point,spp,origin,basal2019,height
gas_line,2019,2020.04.15,perimeter,812,ab,r,0.3,45
gas_line,2019,2020.04.15,perimeter,811,ab,r,1,38
gas_line,2019,2020.04.15,perimeter,811,ab,r,0.75,52
gas_line,2019,2020.04.20,interior,873,wa,r,0.2,17
gas_line,2019,2020.04.16,perimeter,835,wa,r,0.75,64
gas_line,2019,2020.04.16,perimeter,835,bl,r,1,80
gas_line,2019,2020.05.04,interior,844,ba,r,1,64
red_pine,2019,2020.05.26,perimeter,880,ab,r,0.4,18.5
red_pine,2019,2020.06.09,interior,343,ab,r,0.2,17
red_pine,2019,2020.06.01,perimeter,883,ab,r,0.25,24
red_pine,2019,2020.05.26,interior,341,ab,r,0.25,15
red_pine,2019,2020.06.08,perimeter,889,ab,r,0.15,15
red_pine,2019,2020.05.26,perimeter,881,ab,r,0.25,28
red_pine,2019,2020.05.28,interior,347,ab,r,0.15,19.5
red_pine,2019,2020.06.09,interior,343,ab,r,0.25,22
red_pine,2019,2020.05.28,interior,347,ab,r,0.15,24.5
red_pine,2019,2020.06.09,interior,342,ab,r,0.4,32
wedge,2019,2020.06.23,perimeter,967,sb,r,0.2,37.5
wedge,2019,2020.06.29,interior,371,ab,r,0.5,21
wedge,2019,2020.06.23,perimeter,967,ab,r,0.25,23
wedge,2019,2020.06.23,perimeter,975,ab,r,0.5,33
wedge,2019,2020.06.23,perimeter,975,ab,r,0.25,27
wedge,2019,2020.06.23,perimeter,968,ab,r,0.9,56.5
wedge,2019,2020.06.25,perimeter,969,ab,r,0.1,12.5
wedge,2019,2020.06.25,interior,382,ab,r,0.25,24
wedge,2019,2020.06.25,perimeter,969,ab,r,0.1,10.5
wedge,2019,2020.06.26,interior,375,ab,r,0.2,15
wedge,2019,2020.06.23,perimeter,975,ab,r,0.3,22
wedge,2019,2020.06.23,interior,377,ab,r,0.7,35
wedge,2019,2020.06.23,interior,373,ab,r,0.7,22.5
wedge,2019,2020.06.23,interior,373,ab,r,0.5,25
wedge,2019,2020.06.23,interior,377,ab,r,0.25,20
wedge,2019,2020.06.29,interior,374,ab,r,0.25,22.5
wedge,2019,2020.06.23,interior,373,ab,r,0.5,18.5
wedge,2019,2020.06.26,interior,375,ab,r,0.25,26.5
wedge,2019,2020.06.29,perimeter,973,ab,r,0.25,24.5
wedge,2019,2020.06.23,interior,373,ab,r,0.5,21
red_pine,2019,2020.07.15,control,774,wo,r,0.25,19
boot,2019,2020.06.19,interior,358,rm,s,0.15,20.5
boot,2019,2020.06.22,interior,364,rm,s,0.15,21
boot,2019,2020.06.15,interior,363,rm,s,0.15,23.5
boot,2019,2020.06.22,interior,364,rm,s,0.2,28
boot,2019,2020.06.16,interior,350,rm,s,0.25,45.5
boot,2019,2020.06.16,perimeter,965,sm,s,0.2,12.5
boot,2019,2020.06.15,interior,362,sm,s,0.1,13
boot,2019,2020.06.22,interior,354,sb,s,0.2,22.5
boot,2019,2020.06.17,perimeter,950,sb,s,0.15,22
boot,2019,2020.06.12,perimeter,956,sb,s,0.35,41.5
boot,2019,2020.06.12,perimeter,955,sb,s,0.25,37
boot,2019,2020.06.16,interior,355,sb,s,0.6,43.5
boot,2019,2020.06.22,interior,364,sb,s,0.2,37
boot,2019,2020.06.19,perimeter,952,sb,s,0.25,45.5
boot,2019,2020.06.16,perimeter,963,sb,s,0.25,37
