harvest,location,point,count,spp,origin,year,type,size,stems.per.acre
red_pine,interior,336,1,bc,singl/unk,2019,commercial,sup_med,0
red_pine,interior,336,1,bc,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,336,1,bc,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,336,1,bc,singl/unk,2019,commercial,exp_short,0
red_pine,interior,336,1,bc,singl/unk,2019,commercial,exp_med,385.1589656094425
red_pine,interior,336,1,bc,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,336,1,bc,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,336,1,bc,singl/unk,2019,commercial,suppressed,0
red_pine,interior,336,1,bc,singl/unk,2019,commercial,exposed,385.1589656094425
red_pine,interior,336,1,bc,singl/unk,2019,commercial,total,385.1589656094425
red_pine,interior,336,1,bc,singl/unk,2019,commercial,winners,0
red_pine,interior,337,1,rm,singl/unk,2019,commercial,sup_short,0
red_pine,interior,337,1,rm,singl/unk,2019,commercial,sup_med,0
red_pine,interior,337,1,rm,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,337,1,rm,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,337,1,rm,singl/unk,2019,commercial,exp_short,8102.686785647875
red_pine,interior,337,1,rm,singl/unk,2019,commercial,exp_med,385.1589656094425
red_pine,interior,337,1,rm,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,337,1,rm,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,337,1,rm,singl/unk,2019,commercial,suppressed,0
red_pine,interior,337,1,rm,singl/unk,2019,commercial,exposed,8487.845751257317
red_pine,interior,337,1,rm,singl/unk,2019,commercial,total,8487.845751257317
red_pine,interior,337,1,rm,singl/unk,2019,commercial,winners,1155.4768968283274
red_pine,interior,338,1,rm,singl/unk,2019,commercial,sup_short,0
red_pine,interior,338,1,rm,singl/unk,2019,commercial,sup_med,0
red_pine,interior,338,1,rm,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,338,1,rm,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,338,1,rm,singl/unk,2019,commercial,exp_short,20256.71696411969
red_pine,interior,338,1,rm,singl/unk,2019,commercial,exp_med,0
red_pine,interior,338,1,rm,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,338,1,rm,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,338,1,rm,singl/unk,2019,commercial,suppressed,0
red_pine,interior,338,1,rm,singl/unk,2019,commercial,exposed,20256.71696411969
red_pine,interior,338,1,rm,singl/unk,2019,commercial,total,20256.71696411969
red_pine,interior,338,1,rm,singl/unk,2019,commercial,winners,0
red_pine,interior,338,1,rm,stump,2019,commercial,sup_short,0
red_pine,interior,338,1,rm,stump,2019,commercial,sup_med,0
red_pine,interior,338,1,rm,stump,2019,commercial,sup_tall,0
red_pine,interior,338,1,rm,stump,2019,commercial,sup_sapl,0
red_pine,interior,338,1,rm,stump,2019,commercial,exp_short,0
red_pine,interior,338,1,rm,stump,2019,commercial,exp_med,1540.63586243777
red_pine,interior,338,1,rm,stump,2019,commercial,exp_tall,0
red_pine,interior,338,1,rm,stump,2019,commercial,exp_sapl,0
red_pine,interior,338,1,rm,stump,2019,commercial,suppressed,0
red_pine,interior,338,1,rm,stump,2019,commercial,exposed,1540.63586243777
red_pine,interior,338,1,rm,stump,2019,commercial,total,1540.63586243777
red_pine,interior,338,1,rm,stump,2019,commercial,winners,1540.63586243777
red_pine,interior,338,1,sm,singl/unk,2019,commercial,sup_short,0
red_pine,interior,338,1,sm,singl/unk,2019,commercial,sup_med,0
red_pine,interior,338,1,sm,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,338,1,sm,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,338,1,sm,singl/unk,2019,commercial,exp_short,1012.8358482059843
red_pine,interior,338,1,sm,singl/unk,2019,commercial,exp_med,0
red_pine,interior,338,1,sm,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,338,1,sm,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,338,1,sm,singl/unk,2019,commercial,suppressed,0
red_pine,interior,338,1,sm,singl/unk,2019,commercial,exposed,1012.8358482059843
red_pine,interior,338,1,sm,singl/unk,2019,commercial,total,1012.8358482059843
red_pine,interior,338,1,sm,singl/unk,2019,commercial,winners,0
red_pine,interior,338,1,wa,singl/unk,2019,commercial,sup_short,0
red_pine,interior,338,1,wa,singl/unk,2019,commercial,sup_med,0
red_pine,interior,338,1,wa,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,338,1,wa,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,338,1,wa,singl/unk,2019,commercial,exp_short,4051.3433928239374
red_pine,interior,338,1,wa,singl/unk,2019,commercial,exp_med,0
red_pine,interior,338,1,wa,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,338,1,wa,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,338,1,wa,singl/unk,2019,commercial,suppressed,0
red_pine,interior,338,1,wa,singl/unk,2019,commercial,exposed,4051.3433928239374
red_pine,interior,338,1,wa,singl/unk,2019,commercial,total,4051.3433928239374
red_pine,interior,338,1,wa,singl/unk,2019,commercial,winners,0
red_pine,interior,339,1,rm,singl/unk,2019,commercial,sup_short,0
red_pine,interior,339,1,rm,singl/unk,2019,commercial,sup_med,0
red_pine,interior,339,1,rm,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,339,1,rm,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,339,1,rm,singl/unk,2019,commercial,exp_short,0
red_pine,interior,339,1,rm,singl/unk,2019,commercial,exp_med,385.1589656094425
red_pine,interior,339,1,rm,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,339,1,rm,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,339,1,rm,singl/unk,2019,commercial,suppressed,0
red_pine,interior,339,1,rm,singl/unk,2019,commercial,exposed,385.1589656094425
red_pine,interior,339,1,rm,singl/unk,2019,commercial,total,385.1589656094425
red_pine,interior,339,1,rm,singl/unk,2019,commercial,winners,385.1589656094425
red_pine,interior,339,1,wa,singl/unk,2019,commercial,sup_short,0
red_pine,interior,339,1,wa,singl/unk,2019,commercial,sup_med,0
red_pine,interior,339,1,wa,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,339,1,wa,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,339,1,wa,singl/unk,2019,commercial,exp_short,4051.3433928239374
red_pine,interior,339,1,wa,singl/unk,2019,commercial,exp_med,0
red_pine,interior,339,1,wa,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,339,1,wa,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,339,1,wa,singl/unk,2019,commercial,suppressed,0
red_pine,interior,339,1,wa,singl/unk,2019,commercial,exposed,4051.3433928239374
red_pine,interior,339,1,wa,singl/unk,2019,commercial,total,4051.3433928239374
red_pine,interior,339,1,wa,singl/unk,2019,commercial,winners,385.1589656094425
red_pine,interior,339,1,wo,singl/unk,2019,commercial,sup_short,0
red_pine,interior,339,1,wo,singl/unk,2019,commercial,sup_med,0
red_pine,interior,339,1,wo,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,339,1,wo,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,339,1,wo,singl/unk,2019,commercial,exp_short,1012.8358482059843
red_pine,interior,339,1,wo,singl/unk,2019,commercial,exp_med,0
red_pine,interior,339,1,wo,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,339,1,wo,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,339,1,wo,singl/unk,2019,commercial,suppressed,0
red_pine,interior,339,1,wo,singl/unk,2019,commercial,exposed,1012.8358482059843
red_pine,interior,339,1,wo,singl/unk,2019,commercial,total,1012.8358482059843
red_pine,interior,339,1,wo,singl/unk,2019,commercial,winners,385.1589656094425
red_pine,interior,339,1,ro,singl/unk,2019,commercial,sup_short,0
red_pine,interior,339,1,ro,singl/unk,2019,commercial,sup_med,0
red_pine,interior,339,1,ro,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,339,1,ro,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,339,1,ro,singl/unk,2019,commercial,exp_short,2025.6716964119687
red_pine,interior,339,1,ro,singl/unk,2019,commercial,exp_med,0
red_pine,interior,339,1,ro,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,339,1,ro,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,339,1,ro,singl/unk,2019,commercial,suppressed,0
red_pine,interior,339,1,ro,singl/unk,2019,commercial,exposed,2025.6716964119687
red_pine,interior,339,1,ro,singl/unk,2019,commercial,total,2025.6716964119687
red_pine,interior,339,1,ro,singl/unk,2019,commercial,winners,385.1589656094425
red_pine,interior,340,1,wp,singl/unk,2019,commercial,sup_short,1012.8358482059843
red_pine,interior,340,1,wp,singl/unk,2019,commercial,sup_med,0
red_pine,interior,340,1,wp,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,340,1,wp,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,340,1,wp,singl/unk,2019,commercial,exp_short,0
red_pine,interior,340,1,wp,singl/unk,2019,commercial,exp_med,0
red_pine,interior,340,1,wp,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,340,1,wp,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,340,1,wp,singl/unk,2019,commercial,suppressed,1012.8358482059843
red_pine,interior,340,1,wp,singl/unk,2019,commercial,exposed,0
red_pine,interior,340,1,wp,singl/unk,2019,commercial,total,1012.8358482059843
red_pine,interior,340,1,wp,singl/unk,2019,commercial,winners,0
red_pine,interior,340,1,rm,singl/unk,2019,commercial,sup_short,12154.030178471812
red_pine,interior,340,1,rm,singl/unk,2019,commercial,sup_med,0
red_pine,interior,340,1,rm,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,340,1,rm,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,340,1,rm,singl/unk,2019,commercial,exp_short,0
red_pine,interior,340,1,rm,singl/unk,2019,commercial,exp_med,0
red_pine,interior,340,1,rm,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,340,1,rm,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,340,1,rm,singl/unk,2019,commercial,suppressed,12154.030178471812
red_pine,interior,340,1,rm,singl/unk,2019,commercial,exposed,0
red_pine,interior,340,1,rm,singl/unk,2019,commercial,total,12154.030178471812
red_pine,interior,340,1,rm,singl/unk,2019,commercial,winners,0
red_pine,interior,340,1,wa,singl/unk,2019,commercial,sup_short,3038.507544617953
red_pine,interior,340,1,wa,singl/unk,2019,commercial,sup_med,0
red_pine,interior,340,1,wa,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,340,1,wa,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,340,1,wa,singl/unk,2019,commercial,exp_short,6077.015089235906
red_pine,interior,340,1,wa,singl/unk,2019,commercial,exp_med,2696.1127592660973
red_pine,interior,340,1,wa,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,340,1,wa,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,340,1,wa,singl/unk,2019,commercial,suppressed,3038.507544617953
red_pine,interior,340,1,wa,singl/unk,2019,commercial,exposed,8773.127848502003
red_pine,interior,340,1,wa,singl/unk,2019,commercial,total,11811.635393119956
red_pine,interior,340,1,wa,singl/unk,2019,commercial,winners,0
red_pine,interior,340,1,co,singl/unk,2019,commercial,sup_short,0
red_pine,interior,340,1,co,singl/unk,2019,commercial,sup_med,0
red_pine,interior,340,1,co,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,340,1,co,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,340,1,co,singl/unk,2019,commercial,exp_short,3038.507544617953
red_pine,interior,340,1,co,singl/unk,2019,commercial,exp_med,0
red_pine,interior,340,1,co,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,340,1,co,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,340,1,co,singl/unk,2019,commercial,suppressed,0
red_pine,interior,340,1,co,singl/unk,2019,commercial,exposed,3038.507544617953
red_pine,interior,340,1,co,singl/unk,2019,commercial,total,3038.507544617953
red_pine,interior,340,1,co,singl/unk,2019,commercial,winners,0
red_pine,interior,340,1,ro,singl/unk,2019,commercial,sup_short,0
red_pine,interior,340,1,ro,singl/unk,2019,commercial,sup_med,0
red_pine,interior,340,1,ro,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,340,1,ro,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,340,1,ro,singl/unk,2019,commercial,exp_short,1012.8358482059843
red_pine,interior,340,1,ro,singl/unk,2019,commercial,exp_med,770.317931218885
red_pine,interior,340,1,ro,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,340,1,ro,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,340,1,ro,singl/unk,2019,commercial,suppressed,0
red_pine,interior,340,1,ro,singl/unk,2019,commercial,exposed,1783.1537794248693
red_pine,interior,340,1,ro,singl/unk,2019,commercial,total,1783.1537794248693
red_pine,interior,340,1,ro,singl/unk,2019,commercial,winners,0
red_pine,interior,341,1,rm,singl/unk,2019,commercial,sup_short,0
red_pine,interior,341,1,rm,singl/unk,2019,commercial,sup_med,0
red_pine,interior,341,1,rm,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,341,1,rm,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,341,1,rm,singl/unk,2019,commercial,exp_short,1012.8358482059843
red_pine,interior,341,1,rm,singl/unk,2019,commercial,exp_med,0
red_pine,interior,341,1,rm,singl/unk,2019,commercial,exp_tall,0
red_pine,interior,341,1,rm,singl/unk,2019,commercial,exp_sapl,0
red_pine,interior,341,1,rm,singl/unk,2019,commercial,suppressed,0
red_pine,interior,341,1,rm,singl/unk,2019,commercial,exposed,1012.8358482059843
red_pine,interior,341,1,rm,singl/unk,2019,commercial,total,1012.8358482059843
red_pine,interior,341,1,rm,singl/unk,2019,commercial,winners,0
red_pine,interior,342,1,rm,stump,2019,commercial,sup_short,0
red_pine,interior,342,1,rm,stump,2019,commercial,sup_med,0
red_pine,interior,342,1,rm,stump,2019,commercial,sup_tall,0
red_pine,interior,342,1,rm,stump,2019,commercial,sup_sapl,0
red_pine,interior,342,1,rm,stump,2019,commercial,exp_short,6077.015089235906
red_pine,interior,342,1,rm,stump,2019,commercial,exp_med,1155.4768968283274
red_pine,interior,342,1,rm,stump,2019,commercial,exp_tall,0
red_pine,interior,342,1,rm,stump,2019,commercial,exp_sapl,0
red_pine,interior,342,1,rm,stump,2019,commercial,suppressed,0
red_pine,interior,342,1,rm,stump,2019,commercial,exposed,7232.491986064233
red_pine,interior,342,1,rm,stump,2019,commercial,total,7232.491986064233
red_pine,interior,342,1,rm,stump,2019,commercial,winners,770.317931218885
red_pine,interior,343,1,wa,singl/unk,2019,commercial,sup_short,1012.8358482059843
red_pine,interior,343,1,wa,singl/unk,2019,commercial,sup_med,0
red_pine,interior,343,1,wa,singl/unk,2019,commercial,sup_tall,0
red_pine,interior,343,1,wa,singl/unk,2019,commercial,sup_sapl,0
red_pine,interior,343,1,wa,singl/unk,2019,commercial,exp_short,0
