location,originx2,ab_cm_2018,rm_cm_2018,ro_cm_2018,sb_cm_2018,sm_cm_2018,wa_cm_2019,ab_cm_2019,rm_cm_2019,ro_cm_2019,sb_cm_2019,sm_cm_2019,avg_be_other18,avg_be_other19,annual_change
control,sprout,42.238470499977936,78.38538961038961,70.32625,62.82266666666667,35.56,116.41666666666667,73.9220030007502,113.12483766233765,96.67875000000001,111.08266666666667,76.2,-28.093057422099985,-28.778581198384007,0.6855237762840218
interior,sprout,37.73554406130268,131.51555555555555,50.165,95.25,77.25290598290599,144.78,72.63572796934866,172.94930555555555,93.98,195.58,130.9771623931624,-50.457814913056296,-75.01756562039493,24.559750707338637
perimeter,sprout,39.07373051784816,143.07170033670033,104.7115,103.66375000000001,91.46419047619048,180.12833333333333,73.48377073906485,187.38272727272727,162.6235,190.8175,147.39257142857144,-70.70691431139667,-100.18515566786155,29.478241356464878
control,singl/unk,73.20642857142857,38.05464285714286,45.958125,39.14131763099505,41.91,59.12135582010582,95.52214285714285,66.04,60.37203703703704,88.50094384707288,50.8,32.91261411930364,30.55527551629971,2.3573386030039316
interior,singl/unk,84.41700854700855,51.650155677655675,67.73635714285714,37.8385294117647,31.596060606060604,102.13990338164251,112.08021367521367,88.87014957264958,95.98176190476191,112.58176470588235,55.0814393939394,36.28326865566943,21.14920988343852,15.134058772230912
perimeter,singl/unk,103.83425925925927,56.93352272727273,48.133,51.87461538461538,55.88,103.0945316017316,129.1637037037037,92.06537878787879,75.79783333333333,130.8344230769231,64.91111111111111,50.14489761090762,35.823048121508116,14.321849489399504
