harvest,location,point,count,spp,origin,year,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
red_pine,interior,334,1,sb,singl/unk,2019,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,385.1589656094425
red_pine,interior,334,1,pc,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,334,1,ro,singl/unk,2019,0,0,0,0,1012.8358482059843,385.1589656094425,0,0,0,1397.9948138154268,1397.9948138154268,385.1589656094425
red_pine,interior,335,1,svb,singl/unk,2019,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
red_pine,interior,335,1,svb,stump,2019,0,1540.63586243777,0,0,0,0,0,0,1540.63586243777,0,1540.63586243777,0
red_pine,interior,335,1,wa,singl/unk,2019,2025.6716964119687,0,0,0,0,0,0,0,2025.6716964119687,0,2025.6716964119687,0
red_pine,interior,335,1,bta,root,2019,2025.6716964119687,385.1589656094425,0,0,0,0,0,0,2410.830662021411,0,2410.830662021411,0
red_pine,interior,335,1,qa,root,2019,4051.3433928239374,5392.225518532195,0,0,0,1540.63586243777,6162.54344975108,770.317931218885,9443.568911356131,7703.1793121888495,17146.74822354498,0
red_pine,interior,335,1,bc,singl/unk,2019,2025.6716964119687,0,0,0,0,0,0,0,2025.6716964119687,0,2025.6716964119687,0
red_pine,interior,336,1,rm,singl/unk,2019,2025.6716964119687,0,0,0,0,0,0,0,2025.6716964119687,0,2025.6716964119687,0
red_pine,interior,336,1,svb,singl/unk,2019,0,0,0,0,9115.52263385386,385.1589656094425,0,0,0,9500.681599463302,9500.681599463302,0
red_pine,interior,336,1,svb,stump,2019,4051.3433928239374,0,0,0,0,0,0,0,4051.3433928239374,0,4051.3433928239374,0
red_pine,interior,336,1,sb,singl/unk,2019,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
red_pine,interior,336,1,wa,singl/unk,2019,0,0,0,0,1012.8358482059843,385.1589656094425,0,0,0,1397.9948138154268,1397.9948138154268,0
red_pine,interior,336,1,bta,root,2019,0,0,0,0,0,4236.748621703868,1540.63586243777,0,0,5777.384484141638,5777.384484141638,1540.63586243777
red_pine,interior,336,1,bc,singl/unk,2019,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
red_pine,interior,336,1,cc,root,2019,0,0,0,0,1012.8358482059843,385.1589656094425,0,0,0,1397.9948138154268,1397.9948138154268,0
red_pine,interior,337,1,rm,singl/unk,2019,0,0,0,0,8102.686785647875,385.1589656094425,0,0,0,8487.845751257317,8487.845751257317,1155.4768968283274
red_pine,interior,337,1,svb,root,2019,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,385.1589656094425
red_pine,interior,337,1,svb,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,337,1,bta,singl/unk,2019,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
red_pine,interior,338,1,rm,singl/unk,2019,0,0,0,0,20256.71696411969,0,0,0,0,20256.71696411969,20256.71696411969,0
red_pine,interior,338,1,rm,stump,2019,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,1540.63586243777
red_pine,interior,338,1,sm,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,338,1,svb,root,2019,0,0,0,0,3038.507544617953,1155.4768968283274,0,0,0,4193.9844414462805,4193.9844414462805,0
red_pine,interior,338,1,svb,singl/unk,2019,0,0,0,0,14179.70187488378,0,0,0,0,14179.70187488378,14179.70187488378,0
red_pine,interior,338,1,wa,singl/unk,2019,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
red_pine,interior,339,1,rm,singl/unk,2019,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
red_pine,interior,339,1,svb,singl/unk,2019,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,0
red_pine,interior,339,1,wa,singl/unk,2019,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,385.1589656094425
red_pine,interior,339,1,wo,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
red_pine,interior,339,1,ro,singl/unk,2019,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,385.1589656094425
red_pine,interior,340,1,wp,singl/unk,2019,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
red_pine,interior,340,1,rm,singl/unk,2019,12154.030178471812,0,0,0,0,0,0,0,12154.030178471812,0,12154.030178471812,0
red_pine,interior,340,1,ah,singl/unk,2019,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
red_pine,interior,340,1,wa,singl/unk,2019,3038.507544617953,0,0,0,6077.015089235906,2696.1127592660973,0,0,3038.507544617953,8773.127848502003,11811.635393119956,0
red_pine,interior,340,1,eh,singl/unk,2019,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
red_pine,interior,340,1,pc,singl/unk,2019,0,0,0,0,0,770.317931218885,770.317931218885,0,0,1540.63586243777,1540.63586243777,1540.63586243777
red_pine,interior,340,1,cc,root,2019,0,0,0,0,0,770.317931218885,0,0,0,770.317931218885,770.317931218885,0
red_pine,interior,340,1,cc,singl/unk,2019,0,0,0,0,0,1155.4768968283274,0,0,0,1155.4768968283274,1155.4768968283274,0
red_pine,interior,340,1,co,singl/unk,2019,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
red_pine,interior,340,1,ro,singl/unk,2019,0,0,0,0,1012.8358482059843,770.317931218885,0,0,0,1783.1537794248693,1783.1537794248693,0
red_pine,interior,341,1,rm,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,341,1,svb,singl/unk,2019,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
red_pine,interior,341,1,bta,root,2019,1012.8358482059843,0,0,0,1012.8358482059843,1540.63586243777,385.1589656094425,0,1012.8358482059843,2938.6306762531967,3951.466524459181,1540.63586243777
red_pine,interior,341,1,pc,singl/unk,2019,0,0,0,0,1012.8358482059843,385.1589656094425,0,0,0,1397.9948138154268,1397.9948138154268,0
red_pine,interior,342,1,rm,stump,2019,0,0,0,0,6077.015089235906,1155.4768968283274,0,0,0,7232.491986064233,7232.491986064233,770.317931218885
red_pine,interior,342,1,svb,root,2019,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,0
red_pine,interior,342,1,ab,root,2019,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
red_pine,interior,342,1,ab,singl/unk,2019,0,0,0,0,0,0,0,0,0,0,0,0
red_pine,interior,342,1,bta,root,2019,0,0,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425,0,770.317931218885,770.317931218885,770.317931218885
red_pine,interior,342,1,qa,root,2019,0,0,0,0,0,0,0,385.1589656094425,0,0,0,0
red_pine,interior,343,1,svb,root,2019,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,770.317931218885
red_pine,interior,343,1,svb,singl/unk,2019,2025.6716964119687,0,0,0,5064.179241029922,0,0,0,2025.6716964119687,5064.179241029922,7089.850937441891,0
red_pine,interior,343,1,ab,root,2019,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,0
red_pine,interior,343,1,wa,singl/unk,2019,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
red_pine,interior,343,1,bta,root,2019,0,0,0,0,1012.8358482059843,770.317931218885,0,0,0,1783.1537794248693,1783.1537794248693,770.317931218885
red_pine,interior,344,1,rm,singl/unk,2019,1012.8358482059843,0,0,0,1012.8358482059843,0,0,385.1589656094425,1012.8358482059843,1012.8358482059843,2025.6716964119687,0
red_pine,interior,344,1,rm,stump,2019,0,0,0,0,3038.507544617953,385.1589656094425,0,0,0,3423.6665102273955,3423.6665102273955,0
red_pine,interior,344,1,svb,root,2019,5064.179241029922,0,0,0,2025.6716964119687,0,0,0,5064.179241029922,2025.6716964119687,7089.850937441891,0
red_pine,interior,344,1,svb,stump,2019,1012.8358482059843,0,0,0,0,385.1589656094425,0,0,1012.8358482059843,385.1589656094425,1397.9948138154268,0
red_pine,interior,344,1,sb,singl/unk,2019,0,0,0,0,2025.6716964119687,385.1589656094425,0,0,0,2410.830662021411,2410.830662021411,0
red_pine,interior,344,1,qa,root,2019,0,0,0,0,0,1540.63586243777,0,1155.4768968283274,0,1540.63586243777,1540.63586243777,0
red_pine,interior,345,1,rm,singl/unk,2019,0,0,0,0,7089.85093744189,0,0,0,0,7089.85093744189,7089.85093744189,0
red_pine,interior,345,1,wa,singl/unk,2019,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,770.317931218885
red_pine,interior,345,1,wa,stump,2019,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,770.317931218885
red_pine,interior,346,1,stm,singl/unk,2019,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
red_pine,interior,346,1,rm,singl/unk,2019,0,0,0,0,28359.40374976756,385.1589656094425,0,0,0,28744.562715377004,28744.562715377004,0
red_pine,interior,346,1,sm,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,346,1,sb,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,346,1,wa,singl/unk,2019,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,2025.6716964119687,0
red_pine,interior,346,1,bta,singl/unk,2019,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
red_pine,interior,346,1,pc,root,2019,0,0,0,0,0,1540.63586243777,385.1589656094425,0,0,1925.7948280472124,1925.7948280472124,1155.4768968283274
red_pine,interior,346,1,ro,root,2019,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
red_pine,interior,346,1,ro,singl/unk,2019,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
red_pine,interior,347,1,rm,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,347,1,wa,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,347,1,bta,root,2019,0,0,0,0,1012.8358482059843,3081.27172487554,0,0,0,4094.107573081524,4094.107573081524,1155.4768968283274
red_pine,interior,347,1,pc,singl/unk,2019,0,0,0,0,11141.194330265827,770.317931218885,0,0,0,11911.512261484713,11911.512261484713,385.1589656094425
red_pine,interior,347,1,ro,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,348,1,rm,singl/unk,2019,0,0,0,0,11141.194330265827,0,0,0,0,11141.194330265827,11141.194330265827,0
red_pine,interior,348,1,rm,stump,2019,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
red_pine,interior,348,1,svb,stump,2019,0,0,0,0,8102.686785647875,1540.63586243777,0,0,0,9643.322648085645,9643.322648085645,1540.63586243777
red_pine,interior,348,1,ab,stump,2019,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
red_pine,interior,348,1,wa,singl/unk,2019,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0,1012.8358482059843,1012.8358482059843,2025.6716964119687,0
red_pine,interior,348,1,wa,stump,2019,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
red_pine,interior,348,1,pc,singl/unk,2019,0,0,0,0,1012.8358482059843,1925.7948280472124,0,0,0,2938.6306762531967,2938.6306762531967,0
red_pine,interior,348,1,bc,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
red_pine,interior,348,1,ro,singl/unk,2019,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
boot,interior,349,1,sb,singl/unk,2019,7089.85093744189,0,0,0,1012.8358482059843,0,0,0,7089.85093744189,1012.8358482059843,8102.686785647875,0
boot,interior,349,1,wa,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
boot,interior,350,1,rm,singl/unk,2019,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
boot,interior,350,1,sb,singl/unk,2019,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
boot,interior,350,1,ab,root,2019,0,0,0,0,8102.686785647875,385.1589656094425,0,0,0,8487.845751257317,8487.845751257317,1155.4768968283274
boot,interior,350,1,wa,singl/unk,2019,1012.8358482059843,0,0,0,3038.507544617953,0,0,0,1012.8358482059843,3038.507544617953,4051.3433928239374,0
boot,interior,350,1,pc,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
boot,interior,351,1,sb,singl/unk,2019,0,0,0,0,9115.52263385386,0,0,0,0,9115.52263385386,9115.52263385386,0
boot,interior,352,1,stm,singl/unk,2019,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
boot,interior,352,1,rm,singl/unk,2019,3038.507544617953,0,0,0,0,0,0,0,3038.507544617953,0,3038.507544617953,0
boot,interior,352,1,sb,singl/unk,2019,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
boot,interior,353,1,sb,singl/unk,2019,5064.179241029922,0,0,0,13166.866026677797,0,0,0,5064.179241029922,13166.866026677797,18231.04526770772,1155.4768968283274
boot,interior,353,1,qa,singl/unk,2019,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
boot,interior,354,1,sb,singl/unk,2019,5064.179241029922,0,0,0,0,0,0,0,5064.179241029922,0,5064.179241029922,0
boot,interior,355,1,rm,singl/unk,2019,14179.70187488378,0,0,0,1012.8358482059843,0,0,0,14179.70187488378,1012.8358482059843,15192.537723089765,0
boot,interior,355,1,rm,stump,2019,0,0,0,0,0,1540.63586243777,0,0,0,1540.63586243777,1540.63586243777,0
boot,interior,355,1,sb,singl/unk,2019,1012.8358482059843,0,0,0,6077.015089235906,0,0,0,1012.8358482059843,6077.015089235906,7089.85093744189,0
boot,interior,355,1,wa,singl/unk,2019,2025.6716964119687,0,0,0,0,0,0,0,2025.6716964119687,0,2025.6716964119687,0
