harvest,location,numb_yrs_grow,season,type,size,stem_p_ac,spp_stocking_avg,spp_stocking_max
gas_line,perimeter,3,2020,commercial,winners,473.1953006058865,NA,NA
gas_line,perimeter,3,2020,diversity,winners,561.2316356023305,NA,NA
gas_line,perimeter,3,2020,interfering,winners,462.190758731331,NA,NA
gas_line,perimeter,3,2020,other,winners,0,NA,NA
gas_line,perimeter,4,2021,commercial,winners,539.2225518532196,NA,NA
gas_line,perimeter,4,2021,diversity,winners,429.17713310766453,NA,NA
gas_line,perimeter,4,2021,interfering,winners,484.199842480442,NA,NA
gas_line,perimeter,4,2021,other,winners,11.0045418745555,NA,NA
gas_line,perimeter,NA,NA,other,winners,0,NA,NA
recknagel,control,1,2020,commercial,winners,0,NA,NA
recknagel,control,1,2020,interfering,winners,108.3259590776557,NA,NA
recknagel,control,1,2020,other,winners,0,NA,NA
recknagel,control,2,2021,commercial,winners,60.18108837647539,NA,NA
recknagel,control,2,2021,interfering,winners,782.3541488941801,29.166666666666668,46.875
recknagel,control,2,2021,other,winners,0,NA,NA
recknagel,control,NA,NA,other,winners,0,NA,NA
recknagel,interior,1,2020,commercial,winners,19.257948280472124,NA,NA
recknagel,interior,1,2020,diversity,winners,57.77384484141637,NA,NA
recknagel,interior,1,2020,interfering,winners,0,NA,NA
recknagel,interior,1,2020,other,winners,0,NA,NA
recknagel,interior,2,2021,commercial,winners,1155.4768968283274,30.000000000000004,55.00000000000001
recknagel,interior,2,2021,diversity,winners,77.0317931218885,NA,NA
recknagel,interior,2,2021,interfering,winners,154.063586243777,NA,NA
recknagel,interior,2,2021,other,winners,96.28974140236062,7.5,10
recknagel,perimeter,1,2020,commercial,winners,0,NA,NA
recknagel,perimeter,1,2020,diversity,winners,0,NA,NA
recknagel,perimeter,1,2020,interfering,winners,0,NA,NA
recknagel,perimeter,1,2020,other,winners,0,NA,NA
recknagel,perimeter,2,2021,commercial,winners,984.2951343352419,NA,NA
recknagel,perimeter,2,2021,diversity,winners,64.19316093490708,NA,NA
recknagel,perimeter,2,2021,interfering,winners,406.55668592107816,NA,NA
recknagel,perimeter,2,2021,other,winners,21.397720311635695,NA,NA
red_pine,control,2,2019,commercial,winners,265.62687283409826,NA,NA
red_pine,control,2,2019,diversity,winners,411.7216528928523,NA,NA
red_pine,control,2,2019,interfering,winners,398.4403092511473,NA,NA
red_pine,control,3,2020,commercial,winners,398.44030925114737,NA,NA
red_pine,control,3,2020,diversity,winners,504.69105838478674,NA,NA
red_pine,control,3,2020,interfering,winners,531.2537456681965,NA,NA
red_pine,control,3,2020,other,winners,0,NA,NA
red_pine,control,4,2021,commercial,winners,690.6298693686555,NA,NA
red_pine,control,4,2021,diversity,winners,411.7216528928523,31.034482758620687,55.172413793103445
red_pine,control,4,2021,interfering,winners,385.1589656094425,NA,NA
red_pine,control,4,2021,other,winners,0,NA,NA
red_pine,control,NA,NA,other,winners,0,NA,NA
red_pine,interior,2,2019,commercial,winners,487.86802310529384,NA,NA
red_pine,interior,2,2019,diversity,winners,590.5770806011451,NA,NA
red_pine,interior,2,2019,interfering,winners,205.41811499170265,NA,NA
red_pine,interior,2,2019,other,winners,0,NA,NA
red_pine,interior,3,2020,commercial,winners,795.9951955928478,NA,NA
red_pine,interior,3,2020,diversity,winners,385.1589656094425,31.11111111111111,60
red_pine,interior,3,2020,interfering,winners,256.77264373962834,NA,NA
red_pine,interior,3,2020,other,winners,0,NA,NA
red_pine,interior,4,2021,commercial,winners,693.2861380969965,NA,NA
red_pine,interior,4,2021,diversity,winners,564.8998162271823,NA,NA
red_pine,interior,4,2021,interfering,winners,256.77264373962834,NA,NA
red_pine,interior,NA,NA,other,winners,0,NA,NA
red_pine,perimeter,2,2019,commercial,winners,325.9037401310667,NA,NA
red_pine,perimeter,2,2019,diversity,winners,444.41419108781827,42.30769230769231,61.53846153846154
red_pine,perimeter,2,2019,interfering,winners,592.5522547837577,NA,NA
red_pine,perimeter,2,2019,other,winners,0,NA,NA
red_pine,perimeter,3,2020,commercial,winners,266.64851465269095,NA,NA
red_pine,perimeter,3,2020,diversity,winners,562.9246420445697,NA,NA
red_pine,perimeter,3,2020,interfering,winners,474.04180382700616,NA,NA
red_pine,perimeter,4,2021,commercial,winners,444.41419108781827,NA,NA
red_pine,perimeter,4,2021,diversity,winners,533.2970293053819,42.30769230769231,53.84615384615385
red_pine,perimeter,4,2021,interfering,winners,533.2970293053818,NA,NA
red_pine,perimeter,4,2021,other,winners,29.62761273918788,7.6923076923076925,7.6923076923076925
red_pine,perimeter,NA,NA,other,winners,0,NA,NA
sta_rd,control,2,2019,commercial,winners,657.0358825102253,33.333333333333336,52.94117647058824
sta_rd,control,2,2019,diversity,winners,22.65640974173191,NA,NA
sta_rd,control,2,2019,interfering,winners,192.57948280472124,15.686274509803923,17.647058823529413
sta_rd,control,3,2020,commercial,winners,770.3179312188851,36.27450980392157,55.88235294117647
sta_rd,control,3,2020,diversity,winners,33.984614612597866,NA,NA
sta_rd,control,3,2020,interfering,winners,181.25127793385525,9.80392156862745,11.76470588235294
sta_rd,control,3,2020,other,winners,0,NA,NA
sta_rd,control,4,2021,commercial,winners,758.989726348019,30.88235294117647,55.88235294117647
sta_rd,control,4,2021,diversity,winners,11.328204870865955,NA,NA
sta_rd,control,4,2021,interfering,winners,203.90768767558723,NA,NA
sta_rd,control,4,2021,other,winners,0,NA,NA
sta_rd,control,NA,NA,other,winners,0,NA,NA
wedge,interior,2,2019,commercial,winners,192.57948280472124,NA,NA
wedge,interior,2,2019,diversity,winners,110.045418745555,NA,NA
wedge,interior,2,2019,interfering,winners,935.3860593372174,38.095238095238095,92.85714285714286
wedge,interior,3,2020,commercial,winners,440.18167498222,30.952380952380953,42.857142857142854
wedge,interior,3,2020,diversity,winners,110.045418745555,NA,NA
wedge,interior,3,2020,interfering,winners,660.2725124733299,50,50
wedge,interior,3,2020,other,winners,0,NA,NA
wedge,interior,4,2021,commercial,winners,110.045418745555,NA,NA
wedge,interior,4,2021,diversity,winners,110.045418745555,7.142857142857142,7.142857142857142
wedge,interior,4,2021,interfering,winners,1100.45418745555,50,85.71428571428571
wedge,interior,4,2021,other,winners,0,NA,NA
wedge,perimeter,2,2019,commercial,winners,154.063586243777,NA,NA
wedge,perimeter,2,2019,diversity,winners,462.19075873133096,NA,NA
wedge,perimeter,2,2019,interfering,winners,770.317931218885,NA,NA
wedge,perimeter,3,2020,commercial,winners,154.063586243777,NA,NA
wedge,perimeter,3,2020,diversity,winners,462.19075873133096,NA,NA
wedge,perimeter,3,2020,interfering,winners,885.8656209017178,NA,NA
wedge,perimeter,4,2021,commercial,winners,154.063586243777,NA,NA
wedge,perimeter,4,2021,diversity,winners,462.19075873133096,NA,NA
wedge,perimeter,4,2021,interfering,winners,885.8656209017178,NA,NA
NA,NA,2,2021,commercial,winners,NA,NA,NA
