harvest,location,location_denom
sta_rd,control,34
sta_rd,interior,35
sta_rd,perimeter,26
campridge,interior,83
campridge,perimeter,11
circle,interior,24
decker,control,15
decker,interior,37
gas_line,control,17
gas_line,interior,42
gas_line,perimeter,35
recknagel,control,32
recknagel,interior,20
recknagel,perimeter,18
red_pine,control,29
red_pine,interior,15
red_pine,perimeter,13
recknagel_north,perimeter,15
