harvest,location,numb_yrs_grow,type,season,size,stem_p_ac,spp_stocking_avg,spp_stocking_max
gas_line,interior,3,interfering,2020,exposed,2004.6044428232929,15.238095238095237,35.714285714285715
gas_line,interior,3,other,2020,exposed,79.13784861577713,3.571428571428571,4.761904761904762
gas_line,interior,4,commercial,2021,exposed,4794.47820319613,22.486772486772487,61.904761904761905
gas_line,interior,4,diversity,2021,exposed,3180.4653309617443,19.047619047619047,38.095238095238095
gas_line,interior,4,interfering,2021,exposed,3046.3047729731898,23.21428571428571,42.857142857142854
gas_line,interior,4,other,2021,exposed,75.741633172388,3.571428571428571,4.761904761904762
gas_line,interior,NA,other,NA,exposed,0,NA,NA
gas_line,perimeter,2,commercial,2019,exposed,3909.0801480497353,20.357142857142858,34.285714285714285
gas_line,perimeter,2,diversity,2019,exposed,3642.117518249982,30.714285714285715,74.28571428571429
gas_line,perimeter,2,interfering,2019,exposed,3428.9557641013603,34.285714285714285,57.14285714285714
gas_line,perimeter,2,other,2019,exposed,86.81450127479866,2.857142857142857,2.857142857142857
gas_line,perimeter,3,commercial,2020,exposed,5994.653850341316,NA,NA
gas_line,perimeter,3,diversity,2020,exposed,3734.6312307658764,28.57142857142857,57.14285714285714
gas_line,perimeter,3,interfering,2020,exposed,4870.558788047879,32.857142857142854,57.14285714285714
gas_line,perimeter,3,other,2020,exposed,126.75721024095371,NA,NA
gas_line,perimeter,4,commercial,2021,exposed,6249.390104544868,26.03174603174603,65.71428571428571
gas_line,perimeter,4,diversity,2021,exposed,3893.180232908851,33.714285714285715,60
gas_line,perimeter,4,interfering,2021,exposed,4196.010113142693,31.428571428571427,54.285714285714285
gas_line,perimeter,4,other,2021,exposed,236.8026289865087,NA,NA
gas_line,perimeter,NA,other,NA,exposed,0,NA,NA
recknagel,control,1,commercial,2020,exposed,63.30224051287402,3.125,3.125
recknagel,control,1,interfering,2020,exposed,878.6526822743895,14.583333333333334,21.875
recknagel,control,1,other,2020,exposed,31.65112025643701,NA,NA
recknagel,control,2,commercial,2021,exposed,189.90672153862207,3.90625,6.25
recknagel,control,2,interfering,2021,exposed,4150.754286362697,29.166666666666668,46.875
recknagel,control,2,other,2021,exposed,0,NA,NA
recknagel,control,NA,other,NA,exposed,0,NA,NA
recknagel,interior,1,commercial,2020,exposed,3368.7482997913376,13.571428571428571,25
recknagel,interior,1,diversity,2020,exposed,658.3433013338898,15,20
recknagel,interior,1,interfering,2020,exposed,2025.6716964119687,16.25,35
recknagel,interior,1,other,2020,exposed,50.64179241029922,NA,NA
recknagel,interior,2,commercial,2021,exposed,9476.429807764593,30.000000000000004,55.00000000000001
recknagel,interior,2,diversity,2021,exposed,1128.383537888817,15,30
recknagel,interior,2,interfering,2021,exposed,3069.173963355301,25,55.00000000000001
recknagel,interior,2,other,2021,exposed,658.3433013338899,7.5,10
recknagel,perimeter,1,commercial,2020,exposed,3601.1941269546114,14.814814814814815,38.88888888888889
recknagel,perimeter,1,diversity,2020,exposed,42.79544062327139,5.555555555555555,5.555555555555555
recknagel,perimeter,1,interfering,2020,exposed,2081.9403546456347,18.51851851851852,22.22222222222222
recknagel,perimeter,1,other,2020,exposed,787.7612152713211,NA,NA
recknagel,perimeter,2,commercial,2021,exposed,6472.474345338678,26.38888888888889,61.111111111111114
recknagel,perimeter,2,diversity,2021,exposed,248.84814103838704,5.555555555555555,5.555555555555555
recknagel,perimeter,2,interfering,2021,exposed,4514.168736978681,33.33333333333333,55.55555555555556
recknagel,perimeter,2,other,2021,exposed,584.0843026482937,NA,NA
