harvest,wall,wall_denom
sta_rd,protected,61
sta_rd,control,34
campridge,protected,94
circle,protected,24
decker,protected,37
decker,control,15
gas_line,protected,77
gas_line,control,17
recknagel,protected,38
recknagel,control,32
red_pine,protected,28
red_pine,control,29
