describ,age,TRMT,type,tpa,tpha,wall_denom,points_occupied,n,PCT_pts_present
type_summ,1,outside,interfering,24.072435350590126,59.45891531595762,32,2,1,6.25
type_summ,1,inside,commercial,53.454148887217876,132.03174775142816,193,10,4,5.181347150259067
type_summ,1,inside,diversity,236.69989538404886,584.6487415986007,193,32,4,16.580310880829018
type_summ,1,inside,interfering,259.1259007894268,640.0409749498842,155,31,3,20
type_summ,1,inside,other,17.497158299681367,43.21798100021299,131,2,2,1.5267175572519083
type_summ,1,inside,sb,64.61767004977256,159.6056450229382,131,12,2,9.16030534351145
type_summ,2,outside,diversity,22.65640974173191,55.96133206207782,34,1,1,2.941176470588235
type_summ,2,outside,interfering,97.35176060900403,240.45884870423998,66,8,2,12.121212121212121
type_summ,2,outside,sb,45.312819483463585,111.92266412415508,34,2,1,5.88235294117647
type_summ,2,inside,commercial,216.33089597661598,534.3373130622415,254,36,5,14.173228346456693
type_summ,2,inside,diversity,550.6799393191593,1360.1794501183235,254,69,5,27.165354330708663
type_summ,2,inside,interfering,1142.836518057846,2822.80619960288,254,116,5,45.66929133858268
type_summ,2,inside,other,35.43801119482023,87.53188765120596,193,7,4,3.6269430051813467
type_summ,2,inside,sb,174.08901585489096,429.99986916158065,254,43,5,16.92913385826772
type_summ,3,outside,commercial,97.26631078778006,240.24778764581677,46,3,2,6.521739130434782
type_summ,3,outside,diversity,198.0482713630699,489.1792302667826,80,11,3,13.750000000000002
type_summ,3,outside,interfering,89.92836842573809,222.1230700115731,127,13,5,10.236220472440944
type_summ,3,outside,sb,79.9484803530077,197.472746471929,80,9,3,11.25
type_summ,3,inside,commercial,442.3279682523185,1092.5500815832268,359,110,7,30.64066852367688
type_summ,3,inside,diversity,994.5430953938015,2456.52144562269,359,149,7,41.504178272980504
type_summ,3,inside,interfering,1472.4187421077336,3636.874293006102,359,196,7,54.59610027855153
type_summ,3,inside,other,121.46885696475395,300.02807670294226,298,21,6,7.046979865771812
type_summ,3,inside,sb,509.89760431486116,1259.4470826577071,359,105,7,29.247910863509752
type_summ,4,outside,commercial,222.39740137286225,549.3215813909699,80,10,3,12.5
type_summ,4,outside,diversity,229.03807319371484,565.7240407884757,80,13,3,16.25
type_summ,4,outside,interfering,289.84579359250085,715.9191101734772,80,23,3,28.749999999999996
type_summ,4,outside,sb,305.9917407647697,755.7995996889813,80,19,3,23.75
type_summ,4,inside,commercial,827.70500440723265,2044.431360885865,166,72,3,43.373493975903614
type_summ,4,inside,diversity,1330.4739862877716,3286.2707461307964,166,71,3,42.77108433734939
type_summ,4,inside,interfering,2106.3816562382654,5202.762690908517,166,99,3,59.63855421686747
type_summ,4,inside,other,35.014451419040206,86.48569500502933,77,4,1,5.194805194805195
type_summ,4,inside,sb,600.9515810196427,1484.3504051185178,166,51,3,30.72289156626506
type_summ,5,outside,commercial,371.35678496217974,917.2512588565842,80,19,3,23.75
type_summ,5,outside,diversity,402.3465867928249,993.7960693782777,46,15,2,32.608695652173914
type_summ,5,outside,interfering,538.936091500162,1331.1721460054002,80,32,3,40
type_summ,5,outside,other,210.5483594964392,520.0544479562049,46,4,2,8.695652173913043
type_summ,5,outside,sb,880.3447486428119,2174.4515291477455,80,35,3,43.75
type_summ,5,inside,commercial,1137.5528324114366,2809.755496056249,166,94,3,56.62650602409639
type_summ,5,inside,diversity,1331.533166609776,3288.8869215261466,166,79,3,47.59036144578313
type_summ,5,inside,interfering,2360.420931404978,5830.239700570297,166,105,3,63.25301204819277
type_summ,5,inside,other,55.64796743383161,137.4504795615641,105,7,2,6.666666666666667
type_summ,5,inside,sb,837.633965748346,2068.9558953984147,166,60,3,36.144578313253014
type_summ,6,outside,commercial,752.349054527165,1858.3021646820976,46,19,2,41.30434782608695
type_summ,6,outside,diversity,607.8167854850827,1501.3074601481544,46,24,2,52.17391304347826
type_summ,6,outside,interfering,1657.824188688105,4094.825746059619,46,28,2,60.86956521739131
type_summ,6,outside,other,391.01838192195885,965.8154033472383,46,7,2,15.217391304347828
type_summ,6,outside,sb,1785.5594643009722,4410.331876823402,46,31,2,67.3913043478261
type_summ,6,inside,commercial,2397.8646641431965,5922.725720433697,105,81,2,77.14285714285715
type_summ,6,inside,diversity,2316.58111620614,5721.9553570291655,105,70,2,66.66666666666666
type_summ,6,inside,interfering,2452.887373515974,6058.631812584457,105,68,2,64.76190476190476
type_summ,6,inside,other,90.6624188528719,223.9361745665936,105,8,2,7.6190476190476195
type_summ,6,inside,sb,625.883319115343,1545.9317982148973,105,42,2,40
