point,count,spp,origin,harvest,location,year,wall,cut,season,numb_yrs_grow,type,size,stems.per.acre
351,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,0
351,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,9115.52263385386
351,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,9115.52263385386
351,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,3038.507544617953
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,3038.507544617953
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,3038.507544617953
352,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,0
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,385.1589656094425
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,0
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,385.1589656094425
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,385.1589656094425
352,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,5064.179241029922
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,13166.866026677797
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,5064.179241029922
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,13166.866026677797
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,18231.04526770772
353,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,1155.4768968283274
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,5064.179241029922
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,5064.179241029922
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,0
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,5064.179241029922
354,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,14179.70187488378
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,1012.8358482059843
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,0
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,14179.70187488378
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,exposed,1012.8358482059843
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,total,15192.537723089765
355,1,rm,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,0
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,sup_sapl,0
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,exp_short,0
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,exp_med,1540.63586243777
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,exp_tall,0
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,exp_sapl,0
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,suppressed,0
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,exposed,1540.63586243777
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,total,1540.63586243777
355,1,rm,veg,boot,interior,2019,protected,2017,2019,2,commercial,winners,0
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_short,1012.8358482059843
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_med,0
355,1,sb,singl/unk,boot,interior,2019,protected,2017,2019,2,commercial,sup_tall,0
