harvest,location,point,wall,season,cut,year,numb_yrs_grow,origin,spp,LT_seedling,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total,winners
sta_rd,interior,354,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,3038.507544617953,770.317931218885,0,0,0,3808.825475836838,3808.825475836838,1540.63586243777
sta_rd,interior,354,protected,2022,2017,2022,5,singl/unk,931,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,355,protected,2022,2017,2022,5,singl/unk,001,0,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,355,protected,2022,2017,2022,5,singl/unk,004,4051.3433928239374,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,355,protected,2022,2017,2022,5,singl/unk,355,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,355,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,355,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,385.1589656094425
sta_rd,interior,355,protected,2022,2017,2022,5,veg,746,0,0,0,0,0,23295.22450873764,770.317931218885,0,0,0,24065.542439956524,24065.542439956524,1155.4768968283274
sta_rd,interior,356,protected,2022,2017,2022,5,singl/unk,004,1012.8358482059843,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,356,protected,2022,2017,2022,5,singl/unk,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,357,protected,2022,2017,2022,5,singl/unk,004,1012.8358482059843,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,357,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,1012.8358482059843,0,0,385.1589656094425,0,1397.9948138154268,1397.9948138154268,770.317931218885
sta_rd,interior,357,protected,2022,2017,2022,5,veg,531,0,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
sta_rd,interior,358,protected,2022,2017,2022,5,singl/unk,004,1012.8358482059843,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,358,protected,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
sta_rd,interior,358,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,2025.6716964119687,0,0,770.317931218885,0,2795.9896276308536,2795.9896276308536,1540.63586243777
sta_rd,interior,358,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,359,protected,2022,2017,2022,5,singl/unk,004,4051.3433928239374,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,359,protected,2022,2017,2022,5,singl/unk,372,0,1012.8358482059843,0,0,0,0,0,0,0,1012.8358482059843,0,1012.8358482059843,0
sta_rd,interior,359,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,4051.3433928239374,0,0,0,0,4051.3433928239374,4051.3433928239374,0
sta_rd,interior,359,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,1012.8358482059843,1155.4768968283274,1155.4768968283274,385.1589656094425,0,3708.9486074720817,3708.9486074720817,1540.63586243777
sta_rd,interior,360,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,360,protected,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,360,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
sta_rd,interior,360,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,3038.507544617953,0,0,0,0,3038.507544617953,3038.507544617953,0
sta_rd,interior,360,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,5392.225518532195,385.1589656094425,0,0,5777.384484141638,5777.384484141638,1540.63586243777
sta_rd,interior,360,protected,2022,2017,2022,5,singl/unk,951,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,361,protected,2022,2017,2022,5,singl/unk,004,1012.8358482059843,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,361,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,6077.015089235906,385.1589656094425,0,0,0,6462.174054845349,6462.174054845349,1540.63586243777
sta_rd,interior,362,protected,2022,2017,2022,5,singl/unk,004,2025.6716964119687,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,362,protected,2022,2017,2022,5,singl/unk,318,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,362,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,27346.56790156158,770.317931218885,0,0,0,28116.885832780463,28116.885832780463,0
sta_rd,interior,362,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,2310.953793656655,770.317931218885,0,0,3081.27172487554,3081.27172487554,1540.63586243777
sta_rd,interior,363,protected,2022,2017,2022,5,singl/unk,004,1012.8358482059843,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,363,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,385.1589656094425
sta_rd,interior,364,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,364,protected,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,364,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,5064.179241029922,0,0,0,0,5064.179241029922,5064.179241029922,0
sta_rd,interior,364,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,2310.953793656655,1540.63586243777,0,0,3851.5896560944248,3851.5896560944248,1540.63586243777
sta_rd,interior,365,protected,2022,2017,2022,5,singl/unk,004,3038.507544617953,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,365,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
sta_rd,interior,365,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,19243.881115913704,0,0,0,0,19243.881115913704,19243.881115913704,0
sta_rd,interior,365,protected,2022,2017,2022,5,singl/unk,761,0,0,0,0,0,0,0,0,385.1589656094425,0,385.1589656094425,385.1589656094425,385.1589656094425
sta_rd,interior,365,protected,2022,2017,2022,5,veg,951,0,0,0,0,0,0,385.1589656094425,385.1589656094425,770.317931218885,0,1540.63586243777,1540.63586243777,1155.4768968283274
sta_rd,interior,366,protected,2022,2017,2022,5,singl/unk,004,0,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,366,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,0,2696.1127592660973,2310.953793656655,0,0,5007.066552922752,5007.066552922752,1540.63586243777
sta_rd,interior,366,protected,2022,2017,2022,5,veg,531,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,367,protected,2022,2017,2022,5,singl/unk,004,1012.8358482059843,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,367,protected,2022,2017,2022,5,veg,531,0,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,0
sta_rd,interior,367,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,2025.6716964119687,0,0,0,0,2025.6716964119687,2025.6716964119687,0
sta_rd,interior,367,protected,2022,2017,2022,5,veg,951,0,0,0,0,0,0,0,770.317931218885,3851.5896560944248,0,4621.90758731331,4621.90758731331,1540.63586243777
sta_rd,interior,368,protected,2022,2017,2022,5,singl/unk,004,2025.6716964119687,0,0,0,0,0,0,0,0,0,0,0,0
sta_rd,interior,368,protected,2022,2017,2022,5,singl/unk,316,0,0,0,0,0,1012.8358482059843,0,0,0,0,1012.8358482059843,1012.8358482059843,0
sta_rd,interior,368,protected,2022,2017,2022,5,singl/unk,372,0,0,0,0,0,0,385.1589656094425,0,0,0,385.1589656094425,385.1589656094425,385.1589656094425
sta_rd,interior,368,protected,2022,2017,2022,5,singl/unk,541,0,0,0,0,0,10128.358482059844,0,0,0,0,10128.358482059844,10128.358482059844,770.317931218885
