harvest,season,cut,year,numb_yrs_grow,point,location,wall,spp,count,origin,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl,suppressed,exposed,total
recknagel_north,2023,2019,2023,4,1424,perimeter,protected,866,1,single,0,0,0,0,0,0,385.15496228238675,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1424,perimeter,protected,920,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1424,perimeter,protected,951,1,single,0,385.15496228238675,0,0,0,1155.4648868471602,0,0,385.15496228238675,1155.4648868471602,1540.619849129547
recknagel_north,2023,2019,2023,4,1425,perimeter,protected,541,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1426,perimeter,protected,316,1,single,0,385.15496228238675,0,0,0,385.15496228238675,0,0,385.15496228238675,385.15496228238675,770.3099245647735
recknagel_north,2023,2019,2023,4,1426,perimeter,protected,541,1,single,0,0,0,0,0,1155.4648868471602,0,0,0,1155.4648868471602,1155.4648868471602
recknagel_north,2023,2019,2023,4,1426,perimeter,protected,701,1,single,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675,0,385.15496228238675,770.3099245647735,1155.4648868471602
recknagel_north,2023,2019,2023,4,1426,perimeter,protected,833,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1426,perimeter,protected,951,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1427,perimeter,protected,125,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1427,perimeter,protected,315,1,single,0,385.15496228238675,0,0,0,0,0,0,385.15496228238675,0,385.15496228238675
recknagel_north,2023,2019,2023,4,1427,perimeter,protected,541,9,clump,0,0,0,0,0,3466.394660541481,0,0,0,3466.394660541481,3466.394660541481
recknagel_north,2023,2019,2023,4,1427,perimeter,protected,701,1,single,0,0,0,0,1012.8253208302352,1155.4648868471602,385.15496228238675,0,0,2553.445169959782,2553.445169959782
recknagel_north,2023,2019,2023,4,1427,perimeter,protected,761,1,single,0,0,0,0,0,0,770.3099245647735,0,0,770.3099245647735,770.3099245647735
recknagel_north,2023,2019,2023,4,1427,perimeter,protected,833,1,single,0,0,0,0,0,770.3099245647735,0,0,0,770.3099245647735,770.3099245647735
recknagel_north,2023,2019,2023,4,1428,perimeter,protected,316,1,single,0,0,0,0,1012.8253208302352,0,0,0,0,1012.8253208302352,1012.8253208302352
recknagel_north,2023,2019,2023,4,1428,perimeter,protected,355,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1428,perimeter,protected,541,1,single,0,0,0,0,2025.6506416604705,2696.084735976707,0,0,0,4721.735377637177,4721.735377637177
recknagel_north,2023,2019,2023,4,1428,perimeter,protected,701,1,single,0,0,0,0,1012.8253208302352,3851.5496228238676,2310.9297736943204,0,0,7175.304717348423,7175.304717348423
recknagel_north,2023,2019,2023,4,1428,perimeter,protected,762,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1428,perimeter,protected,833,1,single,0,0,0,0,0,1155.4648868471602,0,0,0,1155.4648868471602,1155.4648868471602
recknagel_north,2023,2019,2023,4,1429,perimeter,protected,372,1,single,0,0,0,0,0,0,385.15496228238675,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1429,perimeter,protected,541,1,single,3038.4759624907056,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675,0,3423.6309247730924,770.3099245647735,4193.940849337866
recknagel_north,2023,2019,2023,4,1429,perimeter,protected,761,1,single,0,0,0,0,0,0,385.15496228238675,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1429,perimeter,protected,833,1,single,0,0,0,0,0,0,0,0,0,0,0
recknagel_north,2023,2019,2023,4,1429,perimeter,protected,951,1,single,0,385.15496228238675,0,0,0,770.3099245647735,0,0,385.15496228238675,770.3099245647735,1155.4648868471602
recknagel_north,2023,2019,2023,4,1430,perimeter,protected,402,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1430,perimeter,protected,531,1,single,0,0,0,0,0,385.15496228238675,0,0,0,385.15496228238675,385.15496228238675
recknagel_north,2023,2019,2023,4,1430,perimeter,protected,541,8,clump,0,0,0,0,0,0,0,433.29933256768504,0,433.29933256768504,433.29933256768504
recknagel_north,2023,2019,2023,4,1430,perimeter,protected,701,1,single,0,0,0,0,2025.6506416604705,385.15496228238675,0,0,0,2410.805603942857,2410.805603942857
recknagel_north,2023,2019,2023,4,1430,perimeter,protected,701,5,clump,0,0,0,0,0,0,1925.7748114119338,0,0,1925.7748114119338,1925.7748114119338
recknagel_north,2023,2019,2023,4,1430,perimeter,protected,701,3,clump,0,0,0,0,0,0,1155.4648868471602,0,0,1155.4648868471602,1155.4648868471602
recknagel_north,2023,2019,2023,4,1430,perimeter,protected,761,1,single,0,0,0,0,0,0,0,54.16241657096063,0,54.16241657096063,54.16241657096063
recknagel_north,2023,2019,2023,4,1430,perimeter,protected,833,1,single,0,0,0,0,1012.8253208302352,385.15496228238675,0,0,0,1397.980283112622,1397.980283112622
recknagel_north,2023,2019,2023,4,1430,perimeter,protected,951,4,clump,0,0,0,0,0,0,0,216.64966628384252,0,216.64966628384252,216.64966628384252
recknagel_north,2023,2019,2023,4,1431,perimeter,protected,541,1,single,0,0,0,0,4051.301283320941,1540.619849129547,0,0,0,5591.921132450488,5591.921132450488
